2021-05-06 22:33:31.765 [restartedMain] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: handleUsingGET_21
2021-05-06 22:33:31.781 [restartedMain] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: getByIdUsingGET_1
2021-05-06 22:33:31.796 [restartedMain] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: pageListUsingGET_1
2021-05-06 22:33:31.796 [restartedMain] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: removeByIdUsingDELETE_1
2021-05-06 22:33:31.812 [restartedMain] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: updateByIdUsingPUT_1
2021-05-06 22:33:31.812 [restartedMain] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: addChapterUsingPOST_1
2021-05-06 22:33:31.812 [restartedMain] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: getChapterByIdUsingGET_1
2021-05-06 22:33:31.828 [restartedMain] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: removeChapterUsingDELETE_1
2021-05-06 22:33:31.849 [restartedMain] INFO  com.wenhao.serviceedu.ServiceEduMain - Started ServiceEduMain in 10.395 seconds (JVM running for 11.978)
2021-05-06 22:33:33.168 [RMI TCP Connection(5)-172.22.240.1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-05-06 22:33:33.168 [RMI TCP Connection(5)-172.22.240.1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-05-06 22:33:33.168 [RMI TCP Connection(5)-172.22.240.1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
